detector_id,stream_id,node_id,asset_id,direction,lane_use,longitude,latitude,source_begin_utc,source_end_utc,begin,end,interval_seconds,expected_total,source_observation_count,expected_source_observation_count,quality_status,source_system,aggregation_method
hh_2394_Z_3_29127,29127,2394,Z.3,Richtung 1,,9.995399355,53.543561658,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,25,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_3_29127,29127,2394,Z.3,Richtung 1,,9.995399355,53.543561658,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,25,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_3_29127,29127,2394,Z.3,Richtung 1,,9.995399355,53.543561658,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,27,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,46,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,46,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,53,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,45,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,38,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,48,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,48,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_4_30820,30820,2394,Z.4,Richtung 2,,9.995314909,53.543317673,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,58,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,3,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,2,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,1,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,0,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,6,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,0,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,1,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_5_35320,35320,2394,Z.5,Richtung 2,,9.995270753,53.543307766,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,2,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,21,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,10,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,17,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,10,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,28,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,21,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,17,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_6_29032,29032,2394,Z.6,Richtung 2,,9.995224441,53.543297782,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,15,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,12,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,22,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,15,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,10,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,13,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,14,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,11,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_7_26767,26767,2394,Z.7,Richtung 2,,9.994928763,53.543360925,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,25,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,46,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,31,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,31,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,37,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,42,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,40,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,33,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_8_27151,27151,2394,Z.8,Richtung 2,,9.994918918,53.543390688,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,35,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,26,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,21,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,18,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,27,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,23,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,22,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,22,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2394_Z_9_32139,32139,2394,Z.9,Richtung 2,,9.994909130,53.543419405,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,28,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,24,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,18,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,22,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,20,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,20,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,14,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,17,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_1_31912,31912,2403,Z.1,Richtung 1,,9.998052088,53.544293020,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,16,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,8,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,8,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,6,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,14,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,12,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,13,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,11,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_10_32693,32693,2403,Z.10,Richtung 1,,9.997695187,53.544320534,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,9,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,62,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T14:45:00Z,2026-07-18T15:00:00Z,2700,3600,900,55,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T15:00:00Z,2026-07-18T15:15:00Z,3600,4500,900,50,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T15:15:00Z,2026-07-18T15:30:00Z,4500,5400,900,67,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T15:30:00Z,2026-07-18T15:45:00Z,5400,6300,900,56,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T15:45:00Z,2026-07-18T16:00:00Z,6300,7200,900,62,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T16:00:00Z,2026-07-18T16:15:00Z,7200,8100,900,55,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_2_28751,28751,2403,Z.2,Richtung 1,,9.998073409,53.544265788,2026-07-18T16:15:00Z,2026-07-18T16:30:00Z,8100,9000,900,59,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
hh_2403_Z_3_29224,29224,2403,Z.3,Richtung 1,,9.998093289,53.544240947,2026-07-18T14:30:00Z,2026-07-18T14:45:00Z,1800,2700,900,28,3,3,complete,hamburg_official_infrared_count_fields,sum_complete_5_minute_source_bins
